SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,IS_NEW
BIOL:1808:0A04,Ways of Knowing Science,Jan Fassler - Primary Instructor,,-,7.0,-,-,2.0,-,-,0.0,-,-,2.0,-,-,3.0,Fall,2023,1
BIOL:1808:0A05,Ways of Knowing Science,Jan Fassler - Primary Instructor,,-,8.0,-,-,2.0,-,-,0.0,-,-,3.0,-,-,0.0,Fall,2023,1
BIOL:2246:0A01,Entomology Lab,Andrew Forbes - Primary Instructor,,-,15.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,1.0,Fall,2023,1
BIOL:2246:0A02,Entomology Lab,Andrew Forbes - Primary Instructor,,-,10.0,-,-,2.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
BIOL:2254:0001,Endocrinology,Bryan Phillips - Primary Instructor,,-,16.0,-,-,35.0,-,-,15.0,-,-,4.0,-,-,4.0,Fall,2023,1
BIOL:2374:0001,Biogeography,Susan Meerdink - Primary Instructor,,-,24.0,-,-,14.0,-,-,6.0,-,-,1.0,-,-,0.0,Fall,2023,1
BIOL:2512:0A01,Fundamental Genetics,Anna Malkova - Primary Instructor,,-,6.0,-,-,11.0,-,-,10.0,-,-,2.0,-,-,1.0,Fall,2023,1
BIOL:2512:0A02,Fundamental Genetics,Anna Malkova - Primary Instructor,,-,1.0,-,-,10.0,-,-,14.0,-,-,1.0,-,-,2.0,Fall,2023,1
BIOL:2512:0A04,Fundamental Genetics,Anna Malkova - Primary Instructor,,-,9.0,-,-,10.0,-,-,7.0,-,-,1.0,-,-,2.0,Fall,2023,1
BIOL:2512:0A05,Fundamental Genetics,Anna Malkova - Primary Instructor,,-,1.0,-,-,12.0,-,-,8.0,-,-,4.0,-,-,3.0,Fall,2023,1
BIOL:2663:0001,Plant Response to the Environment,Chi-Lien Cheng - Primary Instructor,,-,7.0,-,-,13.0,-,-,4.0,-,-,0.0,-,-,1.0,Fall,2023,1
BIOL:2723:0001,Cell Biology,Daniel Summers - Primary Instructor,,-,57.0,-,-,30.0,-,-,9.0,-,-,0.0,-,-,2.0,Fall,2023,1
BIOL:3172:0A01,Evolution,Ana Llopart - Primary Instructor,,-,19.0,-,-,9.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
BIOL:3172:0A02,Evolution,Ana Llopart - Primary Instructor,,-,22.0,-,-,5.0,-,-,2.0,-,-,0.0,-,-,0.0,Fall,2023,1
BIOL:3212:0001,Bioinformatics for Beginners,Bin He - Primary Instructor,,-,14.0,-,-,10.0,-,-,2.0,-,-,0.0,-,-,0.0,Fall,2023,1
BIOL:3233:0AAA,Introduction to Developmental Biology,Albert Erives - Primary Instructor,,-,23.0,-,-,22.0,-,-,7.0,-,-,2.0,-,-,2.0,Fall,2023,1
BIOL:3245:0001,Animal Behavior Laboratory,Daniel Eberl - Primary Instructor,,-,12.0,-,-,3.0,-,-,0.0,-,-,1.0,-,-,0.0,Fall,2023,1
BIOL:3245:0002,Animal Behavior Laboratory,Daniel Eberl - Primary Instructor,,-,12.0,-,-,3.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
BIOL:3253:0A01,Neurobiology I,Ryan Lalumiere - Primary Instructor,,-,8.0,-,-,10.0,-,-,8.0,-,-,4.0,-,-,2.0,Fall,2023,1
BIOL:3253:0A02,Neurobiology I,Ryan Lalumiere - Primary Instructor,,-,6.0,-,-,10.0,-,-,13.0,-,-,1.0,-,-,1.0,Fall,2023,1
BIOL:3343:0001,Animal Physiology,Alan Kay - Primary Instructor,,-,13.0,-,-,13.0,-,-,7.0,-,-,0.0,-,-,2.0,Fall,2023,1
BIOL:3626:0A01,Cell Biology Laboratory,Christopher Stipp - Primary Instructor,,-,13.0,-,-,1.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
BIOL:3626:0A02,Cell Biology Laboratory,Christopher Stipp - Primary Instructor,,-,9.0,-,-,6.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
BIOL:3655:0A01,Neurogenetics Laboratory,Chun-Fang Wu - Primary Instructor,,-,11.0,-,-,3.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
BIOL:5653:0001,Fundamental Neurobiology I,Ryan Lalumiere - Primary Instructor,,-,7.0,-,-,6.0,-,-,2.0,-,-,0.0,-,-,0.0,Fall,2023,1
BIOS:4120:0A01,Introduction to Biostatistics,Knute Carter - Primary Instructor,,-,21.0,-,-,1.0,-,-,0.0,-,-,1.0,-,-,0.0,Fall,2023,1
