SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,IS_NEW
PSY:1001:0A12,Elementary Psychology,Meggan Lind - Primary Instructor,James Traer - Course Supervisor,-,21.0,-,-,3.0,-,-,0.0,-,-,0.0,-,-,1.0,Spring,2024,1
PSY:1001:0A13,Elementary Psychology,Shannon Wachter - Primary Instructor,James Traer - Course Supervisor,-,24.0,-,-,1.0,-,-,0.0,-,-,1.0,-,-,0.0,Spring,2024,1
PSY:1001:0A14,Elementary Psychology,Adriana Kotchkoski - Primary Instructor,James Traer - Course Supervisor,-,22.0,-,-,1.0,-,-,0.0,-,-,1.0,-,-,0.0,Spring,2024,1
PSY:1001:0A15,Elementary Psychology,Adriana Kotchkoski - Primary Instructor,James Traer - Course Supervisor,-,23.0,-,-,3.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSY:1001:0B16,Elementary Psychology,Shannon Wachter - Primary Instructor,James Traer - Course Supervisor,-,22.0,-,-,0.0,-,-,1.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSY:1001:0B18,Elementary Psychology,Elysia Lee - Primary Instructor,James Traer - Course Supervisor,-,17.0,-,-,3.0,-,-,0.0,-,-,1.0,-,-,0.0,Spring,2024,1
PSY:1001:0B19,Elementary Psychology,Adriana Kotchkoski - Primary Instructor,James Traer - Course Supervisor,-,20.0,-,-,2.0,-,-,1.0,-,-,0.0,-,-,1.0,Spring,2024,1
PSY:1001:0B20,Elementary Psychology,Elysia Lee - Primary Instructor,James Traer - Course Supervisor,-,15.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSY:1001:0B21,Elementary Psychology,Neila Bell - Primary Instructor,James Traer - Course Supervisor,-,24.0,-,-,1.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSY:1001:0B22,Elementary Psychology,Neila Bell - Primary Instructor,James Traer - Course Supervisor,-,21.0,-,-,3.0,-,-,1.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSY:1001:0B23,Elementary Psychology,Sam Anderson - Primary Instructor,James Traer - Course Supervisor,-,18.0,-,-,4.0,-,-,0.0,-,-,1.0,-,-,0.0,Spring,2024,1
PSY:1001:0B24,Elementary Psychology,Meggan Lind - Primary Instructor,James Traer - Course Supervisor,-,27.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSY:1001:0B25,Elementary Psychology,Neila Bell - Primary Instructor,James Traer - Course Supervisor,-,16.0,-,-,2.0,-,-,0.0,-,-,1.0,-,-,0.0,Spring,2024,1
PSY:1001:0B26,Elementary Psychology,Neila Bell - Primary Instructor,James Traer - Course Supervisor,-,16.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSY:1010:0EXV,Learning About Learning,Shaun Vecera - Primary Instructor,,-,135.0,-,-,7.0,-,-,3.0,-,-,5.0,-,-,1.0,Spring,2024,1
PSY:1010:0EXW,Learning About Learning,Shaun Vecera - Primary Instructor,,-,121.0,-,-,17.0,-,-,9.0,-,-,16.0,-,-,9.0,Spring,2024,1
PSY:2130:0001,Advanced Psychology for Pre-Medical Trac,Julie Gros-Louis - Primary Instructor,,-,51.0,-,-,18.0,-,-,6.0,-,-,0.0,-,-,1.0,Spring,2024,1
PSY:2301:0A01,Introduction to Clinical Psychology,Francisca Diaz - Primary Instructor,Teresa Treat - Course Supervisor,-,14.0,-,-,9.0,-,-,5.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSY:2301:0A02,Introduction to Clinical Psychology,Francisca Diaz - Primary Instructor,Teresa Treat - Course Supervisor,-,8.0,-,-,10.0,-,-,8.0,-,-,0.0,-,-,2.0,Spring,2024,1
PSY:2301:0A03,Introduction to Clinical Psychology,Jordan Harris - Primary Instructor,Teresa Treat - Course Supervisor,-,12.0,-,-,6.0,-,-,8.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSY:2301:0A04,Introduction to Clinical Psychology,Jordan Harris - Primary Instructor,Teresa Treat - Course Supervisor,-,9.0,-,-,11.0,-,-,7.0,-,-,0.0,-,-,1.0,Spring,2024,1
PSY:2301:0A05,Introduction to Clinical Psychology,Jordan Harris - Primary Instructor,Teresa Treat - Course Supervisor,-,11.0,-,-,7.0,-,-,9.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSY:2301:0A06,Introduction to Clinical Psychology,Jessica Tharaud - Primary Instructor,Teresa Treat - Course Supervisor,-,18.0,-,-,6.0,-,-,4.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSY:2301:0A07,Introduction to Clinical Psychology,Jessica Tharaud - Primary Instructor,Teresa Treat - Course Supervisor,-,6.0,-,-,13.0,-,-,7.0,-,-,0.0,-,-,2.0,Spring,2024,1
PSY:2301:0A08,Introduction to Clinical Psychology,Jessica Tharaud - Primary Instructor,Teresa Treat - Course Supervisor,-,10.0,-,-,12.0,-,-,5.0,-,-,0.0,-,-,1.0,Spring,2024,1
PSY:2301:0A09,Introduction to Clinical Psychology,Jordan Harris - Primary Instructor,Teresa Treat - Course Supervisor,-,15.0,-,-,7.0,-,-,4.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSY:2301:0A10,Introduction to Clinical Psychology,Jessica Tharaud - Primary Instructor,Teresa Treat - Course Supervisor,-,6.0,-,-,17.0,-,-,3.0,-,-,2.0,-,-,0.0,Spring,2024,1
PSY:2401:0A01,Introduction to Developmental Science,Miranda Becker - Primary Instructor,Julie Gros-Louis - Course Supervisor,-,8.0,-,-,11.0,-,-,3.0,-,-,1.0,-,-,2.0,Spring,2024,1
PSY:2401:0A02,Introduction to Developmental Science,Ashby Martin - Primary Instructor,Julie Gros-Louis - Course Supervisor,-,5.0,-,-,10.0,-,-,7.0,-,-,3.0,-,-,0.0,Spring,2024,1
PSY:2401:0A03,Introduction to Developmental Science,Miranda Becker - Primary Instructor,Julie Gros-Louis - Course Supervisor,-,6.0,-,-,11.0,-,-,5.0,-,-,2.0,-,-,0.0,Spring,2024,1
PSY:2401:0A04,Introduction to Developmental Science,Miranda Becker - Primary Instructor,Julie Gros-Louis - Course Supervisor,-,7.0,-,-,12.0,-,-,3.0,-,-,2.0,-,-,1.0,Spring,2024,1
PSY:2401:0A05,Introduction to Developmental Science,Miranda Becker - Primary Instructor,Julie Gros-Louis - Course Supervisor,-,13.0,-,-,7.0,-,-,5.0,-,-,1.0,-,-,0.0,Spring,2024,1
PSY:2401:0A06,Introduction to Developmental Science,Ashby Martin - Primary Instructor,Julie Gros-Louis - Course Supervisor,-,8.0,-,-,10.0,-,-,6.0,-,-,1.0,-,-,0.0,Spring,2024,1
PSY:2401:0A07,Introduction to Developmental Science,Ashby Martin - Primary Instructor,Julie Gros-Louis - Course Supervisor,-,7.0,-,-,8.0,-,-,9.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSY:2401:0A08,Introduction to Developmental Science,Ashby Martin - Primary Instructor,Julie Gros-Louis - Course Supervisor,-,4.0,-,-,12.0,-,-,3.0,-,-,5.0,-,-,0.0,Spring,2024,1
